Query Point: 1	Nearest Neighbor: 2177	Distance: 2064
Query Point: 2	Nearest Neighbor: 2782	Distance: 2045
Query Point: 3	Nearest Neighbor: 9973	Distance: 1619
Query Point: 4	Nearest Neighbor: 9844	Distance: 1593
Query Point: 5	Nearest Neighbor: 5165	Distance: 1680
Query Point: 6	Nearest Neighbor: 1240	Distance: 2180
Query Point: 7	Nearest Neighbor: 2775	Distance: 1946
Query Point: 8	Nearest Neighbor: 5869	Distance: 1149
Query Point: 9	Nearest Neighbor: 9629	Distance: 1791
Query Point: 10	Nearest Neighbor: 4720	Distance: 1834
Query Point: 11	Nearest Neighbor: 694	Distance: 2067
Query Point: 12	Nearest Neighbor: 4698	Distance: 1280
Query Point: 13	Nearest Neighbor: 507	Distance: 1811
Query Point: 14	Nearest Neighbor: 9816	Distance: 1829
Query Point: 15	Nearest Neighbor: 798	Distance: 2136
Query Point: 16	Nearest Neighbor: 410	Distance: 1973
Query Point: 17	Nearest Neighbor: 471	Distance: 1963
Query Point: 18	Nearest Neighbor: 4097	Distance: 1987
Query Point: 19	Nearest Neighbor: 904	Distance: 1964
Query Point: 20	Nearest Neighbor: 9807	Distance: 1754
Query Point: 21	Nearest Neighbor: 7028	Distance: 1239
Query Point: 22	Nearest Neighbor: 4491	Distance: 486
Query Point: 23	Nearest Neighbor: 4958	Distance: 1159
Query Point: 24	Nearest Neighbor: 4673	Distance: 1520
Query Point: 25	Nearest Neighbor: 4631	Distance: 1068
Query Point: 26	Nearest Neighbor: 6423	Distance: 1919
Query Point: 27	Nearest Neighbor: 6828	Distance: 1251
Query Point: 28	Nearest Neighbor: 5964	Distance: 1166
Query Point: 29	Nearest Neighbor: 6828	Distance: 1504
Query Point: 30	Nearest Neighbor: 5454	Distance: 734
Query Point: 31	Nearest Neighbor: 4778	Distance: 1819
Query Point: 32	Nearest Neighbor: 5560	Distance: 741
Query Point: 33	Nearest Neighbor: 5301	Distance: 1210
Query Point: 34	Nearest Neighbor: 8151	Distance: 2368
Query Point: 35	Nearest Neighbor: 7059	Distance: 1951
Query Point: 36	Nearest Neighbor: 5842	Distance: 969
Query Point: 37	Nearest Neighbor: 5843	Distance: 865
Query Point: 38	Nearest Neighbor: 5185	Distance: 1241
Query Point: 39	Nearest Neighbor: 5501	Distance: 995
Query Point: 40	Nearest Neighbor: 5075	Distance: 1200
Query Point: 41	Nearest Neighbor: 8308	Distance: 1106
Query Point: 42	Nearest Neighbor: 4644	Distance: 1442
Query Point: 43	Nearest Neighbor: 5225	Distance: 1629
Query Point: 44	Nearest Neighbor: 6303	Distance: 1275
Query Point: 45	Nearest Neighbor: 8616	Distance: 1483
Query Point: 46	Nearest Neighbor: 7877	Distance: 1628
Query Point: 47	Nearest Neighbor: 5881	Distance: 646
Query Point: 48	Nearest Neighbor: 5642	Distance: 2446
Query Point: 49	Nearest Neighbor: 5214	Distance: 968
Query Point: 50	Nearest Neighbor: 5085	Distance: 849
Query Point: 51	Nearest Neighbor: 5013	Distance: 1130
Query Point: 52	Nearest Neighbor: 6124	Distance: 848
Query Point: 53	Nearest Neighbor: 5674	Distance: 1188
Query Point: 54	Nearest Neighbor: 8613	Distance: 1219
Query Point: 55	Nearest Neighbor: 6159	Distance: 979
Query Point: 56	Nearest Neighbor: 5831	Distance: 1042
Query Point: 57	Nearest Neighbor: 4904	Distance: 1436
Query Point: 58	Nearest Neighbor: 5212	Distance: 1176
Query Point: 59	Nearest Neighbor: 7238	Distance: 460
Query Point: 60	Nearest Neighbor: 6835	Distance: 619
Query Point: 61	Nearest Neighbor: 5279	Distance: 1209
Query Point: 62	Nearest Neighbor: 8403	Distance: 732
Query Point: 63	Nearest Neighbor: 6561	Distance: 832
Query Point: 64	Nearest Neighbor: 6322	Distance: 627
Query Point: 65	Nearest Neighbor: 5636	Distance: 980
Query Point: 66	Nearest Neighbor: 6406	Distance: 1085
Query Point: 67	Nearest Neighbor: 5391	Distance: 1189
Query Point: 68	Nearest Neighbor: 6858	Distance: 1205
Query Point: 69	Nearest Neighbor: 7218	Distance: 1251
Query Point: 70	Nearest Neighbor: 5878	Distance: 1943
Query Point: 71	Nearest Neighbor: 6125	Distance: 280
Query Point: 72	Nearest Neighbor: 5827	Distance: 1254
Query Point: 73	Nearest Neighbor: 934	Distance: 2210
Query Point: 74	Nearest Neighbor: 6854	Distance: 1573
Query Point: 75	Nearest Neighbor: 7365	Distance: 986
Query Point: 76	Nearest Neighbor: 6554	Distance: 1416
Query Point: 77	Nearest Neighbor: 7904	Distance: 1648
Query Point: 78	Nearest Neighbor: 8579	Distance: 2177
Query Point: 79	Nearest Neighbor: 9209	Distance: 1551
Query Point: 80	Nearest Neighbor: 8070	Distance: 743
Query Point: 81	Nearest Neighbor: 7452	Distance: 987
Query Point: 82	Nearest Neighbor: 3087	Distance: 1969
Query Point: 83	Nearest Neighbor: 91	Distance: 2001
Query Point: 84	Nearest Neighbor: 6006	Distance: 1161
Query Point: 85	Nearest Neighbor: 8895	Distance: 1359
Query Point: 86	Nearest Neighbor: 8726	Distance: 1753
Query Point: 87	Nearest Neighbor: 9152	Distance: 1673
Query Point: 88	Nearest Neighbor: 7723	Distance: 683
Query Point: 89	Nearest Neighbor: 7099	Distance: 399
Query Point: 90	Nearest Neighbor: 7628	Distance: 690
Query Point: 91	Nearest Neighbor: 9259	Distance: 310
Query Point: 92	Nearest Neighbor: 8897	Distance: 1916
Query Point: 93	Nearest Neighbor: 8357	Distance: 954
Query Point: 94	Nearest Neighbor: 8979	Distance: 1433
Query Point: 95	Nearest Neighbor: 8420	Distance: 977
Query Point: 96	Nearest Neighbor: 1186	Distance: 2188
